time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0,0,0,15.14,9.45,0
20230101:0111,0,0,0,14.96,9.03,0
20230101:0211,0,0,0,14.68,8.83,0
20230101:0311,0,0,0,13.88,8.9,0
20230101:0411,0,0,0,12.82,9.03,0
20230101:0511,0,0,0,12.11,9.17,0
20230101:0611,0,0,0,11.84,8.83,0
20230101:0711,0,0,0,12.3,7.66,0
20230101:0811,0,5.51,1.68,11.79,7.24,0
20230101:0911,11.62,25.73,7.69,11.45,7.38,0
20230101:1011,399.91,466.67,12.01,11.7,7.24,0
20230101:1111,166.01,205.57,14.31,12.22,7.24,0
20230101:1211,302.97,358.32,14.37,12.57,7.24,0
20230101:1311,114.51,148.42,12.2,12.63,7.03,0
20230101:1411,79.79,109.04,7.98,12.42,6.21,0
20230101:1511,0,1.84,2.05,12.07,4.9,0
20230101:1611,0,0,0,11.58,4.28,0
20230101:1711,0,0,0,11.25,3.86,0
20230101:1811,0,0,0,10.89,3.38,0
20230101:1911,0,0,0,10.71,4.48,0
20230101:2011,0,0,0,10.56,4.21,0
20230101:2111,0,0,0,10.49,3.59,0
20230101:2211,0,0,0,10.41,3.59,0
20230101:2311,0,0,0,10.54,4.07,0
20230102:0011,0,0,0,11.14,4.97,0
20230102:0111,0,0,0,11.75,5.66,0
20230102:0211,0,0,0,12.04,6.07,0
20230102:0311,0,0,0,12.08,6.48,0
20230102:0411,0,0,0,11.69,5.86,0
20230102:0511,0,0,0,10.82,4.83,0
20230102:0611,0,0,0,9.93,3.45,0
20230102:0711,0,0,0,9.29,3.93,0
20230102:0811,0,2.76,1.7,8.83,4,0
20230102:0911,25.44,43.83,7.73,8.66,3.93,0
20230102:1011,70.6,97.42,12.07,8.7,3.79,0
20230102:1111,408.94,476.41,14.38,8.9,3.93,0
20230102:1211,51.83,76.26,14.46,9.61,4.62,0
20230102:1311,55.44,80.18,12.3,9.32,5.17,0
20230102:1411,5.1,15.62,8.1,8.93,5.31,0
20230102:1511,0,1.84,2.18,8.54,4.55,0
20230102:1611,0,0,0,7.87,4.21,0
20230102:1711,0,0,0,7.51,3.52,0
20230102:1811,0,0,0,6.71,3.03,0
20230102:1911,0,0,0,6.21,2.97,0
20230102:2011,0,0,0,5.62,2.83,0
20230102:2111,0,0,0,5.06,2.76,0
20230102:2211,0,0,0,4.85,2.69,0
20230102:2311,0,0,0,4.49,2.69,0
20230103:0011,0,0,0,4.38,2.62,0
20230103:0111,0,0,0,3.99,2.55,0
20230103:0211,0,0,0,3.77,2.48,0
20230103:0311,0,0,0,3.58,2.55,0
20230103:0411,0,0,0,3.58,2.62,0
20230103:0511,0,0,0,3.51,2.83,0
20230103:0611,0,0,0,3.59,3.1,0
20230103:0711,0,0,0,3.07,3.17,0
20230103:0811,0,1.84,1.74,3.58,3.45,0
20230103:0911,14.77,29.4,7.78,4.27,3.79,0
20230103:1011,34.98,55.13,12.14,5.39,4.55,0
20230103:1111,36.31,56.97,14.47,6.56,5.45,0
20230103:1211,34.62,55.13,14.56,7.57,5.72,0
20230103:1311,148.33,183.01,12.42,8.07,5.38,0
20230103:1411,149.65,184.76,8.22,8.19,5.03,0
20230103:1511,0,5.51,2.31,8.08,5.03,0
20230103:1611,0,0,0,7.74,5.38,0
20230103:1711,0,0,0,7.73,5.79,0
20230103:1811,0,0,0,8.06,6.14,0
20230103:1911,0,0,0,7.88,6.97,0
20230103:2011,0,0,0,8.09,7.38,0
20230103:2111,0,0,0,8.35,7.72,0
20230103:2211,0,0,0,8.57,8.14,0
20230103:2311,0,0,0,9.04,8.62,0
20230104:0011,0,0,0,9.4,9.03,0
20230104:0111,0,0,0,9.43,9.24,0
20230104:0211,0,0,0,9.44,9.24,0
20230104:0311,0,0,0,9.96,9.17,0
20230104:0411,0,0,0,10.49,9.38,0
20230104:0511,0,0,0,10.84,9.66,0
20230104:0611,0,0,0,10.94,9.66,0
20230104:0711,0,0,0,11.35,9.24,0
20230104:0811,0,0.92,1.78,11.46,9.24,0
20230104:0911,14.21,29.4,7.83,11.58,9.17,0
20230104:1011,23.1,41.35,12.21,11.72,9.17,0
20230104:1111,29.49,49.62,14.56,12.1,9.24,0
20230104:1211,52.03,77.14,14.67,12.17,9.38,0
20230104:1311,39.34,61.78,12.54,12.24,9.93,0
20230104:1411,69.73,97.15,8.35,11.97,9.72,0
20230104:1511,0,3.68,2.45,11.57,9.24,0
20230104:1611,0,0,0,10.92,8.9,0
20230104:1711,0,0,0,10.69,8.69,0
20230104:1811,0,0,0,10.69,8.83,0
20230104:1911,0,0,0,10.59,8.55,0
20230104:2011,0,0,0,10.39,8.41,0
20230104:2111,0,0,0,10.24,8.07,0
20230104:2211,0,0,0,10.1,7.86,0
20230104:2311,0,0,0,9.89,7.52,0
20230105:0011,0,0,0,9.66,7.38,0
20230105:0111,0,0,0,9.48,7.45,0
20230105:0211,0,0,0,9.55,7.52,0
20230105:0311,0,0,0,9.51,7.38,0
20230105:0411,0,0,0,9.35,6.62,0
20230105:0511,0,0,0,9.31,6.48,0
20230105:0611,0,0,0,9.27,6.07,0
20230105:0711,0,0,0,9.45,5.93,0
20230105:0811,0,0.92,1.82,9.21,5.45,0
20230105:0911,23.05,40.89,7.9,9.56,5.38,0
20230105:1011,35.7,56.97,12.29,9.88,4.69,0
20230105:1111,78.15,106.82,14.66,10.18,4.62,0
20230105:1211,51.56,76.19,14.79,10.35,4.14,0
20230105:1311,178.96,219.41,12.67,10.51,3.66,0
20230105:1411,80.17,108.78,8.49,10.36,3.72,0
20230105:1511,0,5.51,2.59,10.08,3.31,0
20230105:1611,0,0,0,9.83,3.17,0
20230105:1711,0,0,0,9.88,3.59,0
20230105:1811,0,0,0,10.06,4.41,0
20230105:1911,0,0,0,10.27,4.9,0
20230105:2011,0,0,0,10.21,5.45,0
20230105:2111,0,0,0,10.22,5.79,0
20230105:2211,0,0,0,10.25,5.93,0
20230105:2311,0,0,0,10.29,6,0
20230106:0011,0,0,0,10.32,6.07,0
20230106:0111,0,0,0,10.3,6.28,0
20230106:0211,0,0,0,10.46,6.48,0
20230106:0311,0,0,0,10.52,6.76,0
20230106:0411,0,0,0,10.4,7.17,0
20230106:0511,0,0,0,10.3,7.59,0
20230106:0611,0,0,0,10.3,7.79,0
20230106:0711,0,0,0,10.28,7.93,0
20230106:0811,0.68,7.35,1.87,9.9,6,0
20230106:0911,304.95,359.86,7.97,9.53,4.83,0
20230106:1011,474.27,552.23,12.38,9.52,4.83,0
20230106:1111,532.71,623.46,14.76,10,4.48,0
20230106:1211,187.5,228.36,14.91,10.36,5.1,0
20230106:1311,57.95,83.51,12.8,10.39,5.03,0
20230106:1411,34.12,54.85,8.63,10.03,4.76,0
20230106:1511,0,5.51,2.74,9.72,4.62,0
20230106:1611,0,0,0,9.19,4.34,0
20230106:1711,0,0,0,9.09,4,0
20230106:1811,0,0,0,9.24,4.07,0
20230106:1911,0,0,0,8.87,4.07,0
20230106:2011,0,0,0,9.16,4.41,0
20230106:2111,0,0,0,9.71,4.83,0
20230106:2211,0,0,0,9.9,5.03,0
20230106:2311,0,0,0,9.98,5.17,0
20230107:0011,0,0,0,10.27,5.45,0
20230107:0111,0,0,0,10.53,5.45,0
20230107:0211,0,0,0,10.43,5.31,0
20230107:0311,0,0,0,10.19,5.24,0
20230107:0411,0,0,0,9.76,5.24,0
20230107:0511,0,0,0,9.31,5.31,0
20230107:0611,0,0,0,9.24,5.59,0
20230107:0711,0,0,0,9.17,6,0
20230107:0811,0,0.92,1.93,9.12,6.14,0
20230107:0911,84.7,113.31,8.04,9.31,6.34,0
20230107:1011,186.72,226.39,12.47,9.92,6.55,0
20230107:1111,489.05,566.5,14.88,10.53,7.03,0
20230107:1211,314.83,369.91,15.04,10.92,6.21,0
20230107:1311,169.24,207.97,12.95,11.07,7.52,0
20230107:1411,105.61,137.5,8.79,11.05,7.17,0
20230107:1511,0,2.76,2.89,10.64,6.76,0
20230107:1611,0,0,0,10.34,6.69,0
20230107:1711,0,0,0,10.3,6.83,0
20230107:1811,0,0,0,10.58,6.9,0
20230107:1911,0,0,0,10.29,6.9,0
20230107:2011,0,0,0,9.9,7.1,0
20230107:2111,0,0,0,10.01,7.45,0
20230107:2211,0,0,0,10.41,7.45,0
20230107:2311,0,0,0,10.25,7.1,0
20230108:0011,0,0,0,9.72,6.69,0
20230108:0111,0,0,0,9.33,6,0
20230108:0211,0,0,0,8.83,5.17,0
20230108:0311,0,0,0,8.4,5.1,0
20230108:0411,0,0,0,8.08,5.1,0
20230108:0511,0,0,0,7.77,5.03,0
20230108:0611,0,0,0,7.55,5.1,0
20230108:0711,0,0,0,7.67,4.83,0
20230108:0811,1.55,9.19,2,7.25,4.83,0
20230108:0911,314.78,367.37,8.13,7.52,5.1,0
20230108:1011,466.07,538.85,12.58,8.39,5.17,0
20230108:1111,467.85,539.56,15,9.05,6.41,0
20230108:1211,56.52,81.65,15.18,9.37,6.69,0
20230108:1311,429.38,497.08,13.1,9.6,6.28,0
20230108:1411,344.36,402.28,8.94,9.49,6,0
20230108:1511,2.47,11.03,3.05,8.92,5.17,0
20230108:1611,0,0,0,8.19,5.1,0
20230108:1711,0,0,0,8.12,5.59,0
20230108:1811,0,0,0,7.92,5.66,0
20230108:1911,0,0,0,7.92,6,0
20230108:2011,0,0,0,7.72,5.66,0
20230108:2111,0,0,0,7.89,5.72,0
20230108:2211,0,0,0,7.76,5.31,0
20230108:2311,0,0,0,7.68,5.24,0
20230109:0011,0,0,0,7.41,5.24,0
20230109:0111,0,0,0,7.09,5.17,0
20230109:0211,0,0,0,6.52,4.69,0
20230109:0311,0,0,0,5.83,4.62,0
20230109:0411,0,0,0,5.56,4.97,0
20230109:0511,0,0,0,5.72,5.24,0
20230109:0611,0,0,0,6.14,5.31,0
20230109:0711,0,0,0,6.12,4.97,0
20230109:0811,0,2.76,2.08,6.3,5.03,0
20230109:0911,9.36,22.05,8.22,6.67,4.9,0
20230109:1011,37,57.89,12.69,6.91,5.1,0
20230109:1111,51.61,75.17,15.13,6.88,5.17,0
20230109:1211,354.78,409.04,15.32,7.07,5.24,0
20230109:1311,335.13,387.77,13.25,7.42,5.17,0
20230109:1411,161.35,196.87,9.1,7.39,5.38,0
20230109:1511,3,11.94,3.22,6.98,4.83,0
20230109:1611,0,0,0,6.24,4.07,0
20230109:1711,0,0,0,6.13,3.93,0
20230109:1811,0,0,0,6.09,4.14,0
20230109:1911,0,0,0,6.01,4.41,0
20230109:2011,0,0,0,5.98,4.48,0
20230109:2111,0,0,0,6.06,4.48,0
20230109:2211,0,0,0,6.02,4.21,0
20230109:2311,0,0,0,5.7,4.07,0
20230110:0011,0,0,0,5.71,4.55,0
20230110:0111,0,0,0,5.58,4.83,0
20230110:0211,0,0,0,5.86,4.9,0
20230110:0311,0,0,0,5.77,4.9,0
20230110:0411,0,0,0,6.19,4.83,0
20230110:0511,0,0,0,6.42,4.62,0
20230110:0611,0,0,0,6.35,4.21,0
20230110:0711,0,0,0,5.36,3.79,0
20230110:0811,0,0.92,2.16,4.92,4.14,0
20230110:0911,38.34,58.85,8.32,5.1,4.48,0
20230110:1011,88.78,116.45,12.8,5.52,4.28,0
20230110:1111,49.61,72.59,15.26,5.62,4.41,0
20230110:1211,47.22,69.83,15.47,5.83,4.76,0
20230110:1311,31.85,51.45,13.41,6.19,5.38,0
20230110:1411,8.75,21.13,9.27,6.57,6.41,0
20230110:1511,0.32,6.43,3.39,6.57,6.97,0
20230110:1611,0,0,0,6.67,8,0
20230110:1711,0,0,0,6.83,8.28,0
20230110:1811,0,0,0,7.24,8.34,0
20230110:1911,0,0,0,7.37,7.79,0
20230110:2011,0,0,0,8.33,7.72,0
20230110:2111,0,0,0,9.39,7.72,0
20230110:2211,0,0,0,10.18,7.86,0
20230110:2311,0,0,0,10.72,8.21,0
20230111:0011,0,0,0,11.12,8.28,0
20230111:0111,0,0,0,11.29,8.21,0
20230111:0211,0,0,0,11.3,8,0
20230111:0311,0,0,0,11.24,7.59,0
20230111:0411,0,0,0,10.96,7.17,0
20230111:0511,0,0,0,10.32,5.93,0
20230111:0611,0,0,0,9.69,5.38,0
20230111:0711,0,0,0,9.17,4.83,0
20230111:0811,1.54,9.19,2.24,8.33,4.69,0
20230111:0911,318.36,372.86,8.42,8.2,4.83,0
20230111:1011,475.98,551.28,12.93,8.67,5.1,0
20230111:1111,266.29,314.02,15.41,9.2,5.31,0
20230111:1211,76.11,104.16,15.63,9.56,6.83,0
20230111:1311,181.45,219.96,13.58,9.43,7.45,0
20230111:1411,345.18,401.13,9.45,9.19,7.31,0
20230111:1511,114.54,148.82,3.57,8.83,6.41,0
20230111:1611,0,0,0,8.21,6.48,0
20230111:1711,0,0,0,8.1,7.03,0
20230111:1811,0,0,0,8.19,7.72,0
20230111:1911,0,0,0,8.5,8.41,0
20230111:2011,0,0,0,8.36,8.69,0
20230111:2111,0,0,0,8.31,8.34,0
20230111:2211,0,0,0,8.42,7.72,0
20230111:2311,0,0,0,8.21,7.38,0
20230112:0011,0,0,0,8.65,7.1,0
20230112:0111,0,0,0,8.88,7.1,0
20230112:0211,0,0,0,8.73,7.31,0
20230112:0311,0,0,0,8.77,7.66,0
20230112:0411,0,0,0,8.93,8.83,0
20230112:0511,0,0,0,9,9.93,0
20230112:0611,0,0,0,9.46,10.34,0
20230112:0711,0,0,0,10.23,9.72,0
20230112:0811,1.08,8.27,2.34,10.57,9.03,0
20230112:0911,44.22,67.13,8.53,10.73,8.83,0
20230112:1011,13.6,28.48,13.06,11,8.62,0
20230112:1111,53.68,78.77,15.56,10.98,8,0
20230112:1211,34.06,55.13,15.8,10.96,7.66,0
20230112:1311,31.14,51.45,13.76,10.77,7.59,0
20230112:1411,16.96,33.08,9.63,10.69,7.86,0
20230112:1511,0,4.59,3.75,10.61,8.14,0
20230112:1611,0,0,0,10.5,8.07,0
20230112:1711,0,0,0,10.38,8.21,0
20230112:1811,0,0,0,10.38,8,0
20230112:1911,0,0,0,10.43,8.76,0
20230112:2011,0,0,0,10.48,8.69,0
20230112:2111,0,0,0,10.29,8.9,0
20230112:2211,0,0,0,9.85,7.93,0
20230112:2311,0,0,0,9.2,7.93,0
20230113:0011,0,0,0,8.49,7.72,0
20230113:0111,0,0,0,7.96,7.66,0
20230113:0211,0,0,0,7.69,7.79,0
20230113:0311,0,0,0,7.79,8,0
20230113:0411,0,0,0,7.8,8.28,0
20230113:0511,0,0,0,7.65,8.34,0
20230113:0611,0,0,0,7.74,8.48,0
20230113:0711,0,0,0,7.8,8.76,0
20230113:0811,0,1.84,2.44,7.8,8.9,0
20230113:0911,4.03,13.78,8.65,8.14,9.1,0
20230113:1011,90.41,119.27,13.2,8.32,9.24,0
20230113:1111,116.71,148.66,15.71,8.56,9.66,0
20230113:1211,159.73,195.75,15.97,8.86,9.59,0
20230113:1311,151.62,186.77,13.94,8.98,9.79,0
20230113:1411,146.12,180.62,9.82,8.83,9.31,0
